    Raman shift    inc freq                      X                               Y                                Z
                                            Real       Imag                 Real       Imag                 Real       Imag
                                   -0.866963E+01  -0.311002E+00      0.400349E+02   0.143616E+01      0.401627E-13   0.143280E-14

                                   -0.936766E-14  -0.343736E-15      0.401627E-13   0.143280E-14      0.796084E-03   0.397341E-04

      0.00000    34722.14970        0.188416E+01   0.679834E-01     -0.870075E+01  -0.313936E+00     -0.940205E-14  -0.347064E-15

                                   -0.870075E+01  -0.313936E+00      0.401786E+02   0.144970E+01      0.403061E-13   0.144623E-14

                                   -0.940205E-14  -0.347064E-15      0.403061E-13   0.144623E-14      0.800050E-03   0.402332E-04

      0.00000    34762.47740        0.189096E+01   0.686272E-01     -0.873215E+01  -0.316909E+00     -0.943677E-14  -0.350439E-15

                                   -0.873215E+01  -0.316909E+00      0.403236E+02   0.146343E+01      0.404507E-13   0.145984E-14

                                   -0.943677E-14  -0.350439E-15      0.404507E-13   0.145984E-14      0.804065E-03   0.407421E-04

      0.00000    34802.80510        0.189783E+01   0.692799E-01     -0.876386E+01  -0.319923E+00     -0.947181E-14  -0.353862E-15

                                   -0.876386E+01  -0.319923E+00      0.404701E+02   0.147735E+01      0.405968E-13   0.147363E-14

                                   -0.947181E-14  -0.353862E-15      0.405968E-13   0.147363E-14      0.808131E-03   0.412609E-04

      0.00000    34843.13280        0.190476E+01   0.699414E-01     -0.879587E+01  -0.322978E+00     -0.950721E-14  -0.357333E-15

                                   -0.879587E+01  -0.322978E+00      0.406178E+02   0.149146E+01      0.407442E-13   0.148760E-14

                                   -0.950721E-14  -0.357333E-15      0.407442E-13   0.148760E-14      0.812249E-03   0.417901E-04

      0.00000    34883.46050        0.191176E+01   0.706120E-01     -0.882818E+01  -0.326074E+00     -0.954295E-14  -0.360856E-15

                                   -0.882818E+01  -0.326074E+00      0.407671E+02   0.150576E+01      0.408930E-13   0.150177E-14

                                   -0.954295E-14  -0.360856E-15      0.408930E-13   0.150177E-14      0.816419E-03   0.423298E-04

      0.00000    34923.78820        0.191882E+01   0.712919E-01     -0.886080E+01  -0.329214E+00     -0.957905E-14  -0.364429E-15

                                   -0.886080E+01  -0.329214E+00      0.409177E+02   0.152026E+01      0.410432E-13   0.151613E-14

                                   -0.957905E-14  -0.364429E-15      0.410432E-13   0.151613E-14      0.820642E-03   0.428804E-04

      0.00000    34964.11590        0.192595E+01   0.719812E-01     -0.889373E+01  -0.332397E+00     -0.961549E-14  -0.368054E-15

                                   -0.889373E+01  -0.332397E+00      0.410698E+02   0.153495E+01      0.411950E-13   0.153068E-14

                                   -0.961549E-14  -0.368054E-15      0.411950E-13   0.153068E-14      0.824920E-03   0.434422E-04

      0.00000    35004.44360        0.193315E+01   0.726801E-01     -0.892698E+01  -0.335625E+00     -0.965230E-14  -0.371732E-15

                                   -0.892698E+01  -0.335625E+00      0.412233E+02   0.154986E+01      0.413481E-13   0.154543E-14

                                   -0.965230E-14  -0.371732E-15      0.413481E-13   0.154543E-14      0.829254E-03   0.440156E-04

      0.00000    35044.77130        0.194042E+01   0.733888E-01     -0.896055E+01  -0.338897E+00     -0.968948E-14  -0.375464E-15

                                   -0.896055E+01  -0.338897E+00      0.413784E+02   0.156497E+01      0.415027E-13   0.156040E-14

                                   -0.968948E-14  -0.375464E-15      0.415027E-13   0.156040E-14      0.833644E-03   0.446008E-04

      0.00000    35085.09900        0.194776E+01   0.741075E-01     -0.899445E+01  -0.342216E+00     -0.972703E-14  -0.379252E-15

                                   -0.899445E+01  -0.342216E+00      0.415349E+02   0.158030E+01      0.416588E-13   0.157556E-14

                                   -0.972703E-14  -0.379252E-15      0.416588E-13   0.157556E-14      0.838092E-03   0.451982E-04

      0.00000    35125.42670        0.195518E+01   0.748365E-01     -0.902868E+01  -0.345582E+00     -0.976495E-14  -0.383095E-15

                                   -0.902868E+01  -0.345582E+00      0.416930E+02   0.159584E+01      0.418164E-13   0.159094E-14

                                   -0.976495E-14  -0.383095E-15      0.418164E-13   0.159094E-14      0.842600E-03   0.458082E-04

      0.00000    35165.75440        0.196266E+01   0.755758E-01     -0.906325E+01  -0.348997E+00     -0.980327E-14  -0.386998E-15

                                   -0.906325E+01  -0.348997E+00      0.418526E+02   0.161161E+01      0.419755E-13   0.160654E-14

                                   -0.980327E-14  -0.386998E-15      0.419755E-13   0.160654E-14      0.847167E-03   0.464312E-04

      0.00000    35206.08210        0.197022E+01   0.763258E-01     -0.909816E+01  -0.352460E+00     -0.984196E-14  -0.390959E-15

                                   -0.909816E+01  -0.352460E+00      0.420138E+02   0.162760E+01      0.421362E-13   0.162236E-14

                                   -0.984196E-14  -0.390959E-15      0.421362E-13   0.162236E-14      0.851796E-03   0.470675E-04

      0.00000    35246.40980        0.197786E+01   0.770866E-01     -0.913341E+01  -0.355973E+00     -0.988105E-14  -0.394981E-15

                                   -0.913341E+01  -0.355973E+00      0.421766E+02   0.164382E+01      0.422985E-13   0.163840E-14

                                   -0.988105E-14  -0.394981E-15      0.422985E-13   0.163840E-14      0.856489E-03   0.477176E-04

      0.00000    35286.73750        0.198557E+01   0.778584E-01     -0.916901E+01  -0.359537E+00     -0.992054E-14  -0.399064E-15

                                   -0.916901E+01  -0.359537E+00      0.423410E+02   0.166028E+01      0.424624E-13   0.165467E-14

                                   -0.992054E-14  -0.399064E-15      0.424624E-13   0.165467E-14      0.861245E-03   0.483820E-04

