  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      43231.29         0.11071E+05   0.46575E+04   0.41232E+05   0.00000E+00
       0.00      43271.62         0.11211E+05   0.47161E+04   0.41750E+05   0.00000E+00
       0.00      43311.95         0.11313E+05   0.47593E+04   0.42129E+05   0.00000E+00
       0.00      43352.28         0.11378E+05   0.47870E+04   0.42371E+05   0.00000E+00
       0.00      43392.61         0.11409E+05   0.48004E+04   0.42486E+05   0.00000E+00
       0.00      43432.93         0.11414E+05   0.48026E+04   0.42500E+05   0.00000E+00
       0.00      43473.26         0.11401E+05   0.47977E+04   0.42453E+05   0.00000E+00
       0.00      43513.59         0.11386E+05   0.47914E+04   0.42392E+05   0.00000E+00
       0.00      43553.92         0.11380E+05   0.47891E+04   0.42368E+05   0.00000E+00
       0.00      43594.24         0.11394E+05   0.47955E+04   0.42421E+05   0.00000E+00
       0.00      43634.57         0.11436E+05   0.48130E+04   0.42574E+05   0.00000E+00
       0.00      43674.90         0.11503E+05   0.48412E+04   0.42823E+05   0.00000E+00
       0.00      43715.23         0.11587E+05   0.48765E+04   0.43136E+05   0.00000E+00
       0.00      43755.55         0.11673E+05   0.49128E+04   0.43459E+05   0.00000E+00
       0.00      43795.88         0.11744E+05   0.49422E+04   0.43723E+05   0.00000E+00
       0.00      43836.21         0.11779E+05   0.49570E+04   0.43858E+05   0.00000E+00
       0.00      43876.54         0.11765E+05   0.49508E+04   0.43807E+05   0.00000E+00
       0.00      43916.87         0.11693E+05   0.49203E+04   0.43541E+05   0.00000E+00
       0.00      43957.19         0.11565E+05   0.48660E+04   0.43063E+05   0.00000E+00
       0.00      43997.52         0.11388E+05   0.47916E+04   0.42407E+05   0.00000E+00
       0.00      44037.85         0.11179E+05   0.47035E+04   0.41627E+05   0.00000E+00
       0.00      44078.18         0.10954E+05   0.46091E+04   0.40790E+05   0.00000E+00
       0.00      44118.50         0.10731E+05   0.45151E+04   0.39956E+05   0.00000E+00
       0.00      44158.83         0.10521E+05   0.44274E+04   0.39176E+05   0.00000E+00
       0.00      44199.16         0.10336E+05   0.43497E+04   0.38483E+05   0.00000E+00
       0.00      44239.49         0.10179E+05   0.42838E+04   0.37895E+05   0.00000E+00
       0.00      44279.81         0.10050E+05   0.42302E+04   0.37415E+05   0.00000E+00
       0.00      44320.14         0.99481E+04   0.41875E+04   0.37032E+05   0.00000E+00
       0.00      44360.47         0.98670E+04   0.41537E+04   0.36728E+05   0.00000E+00
       0.00      44400.80         0.98010E+04   0.41262E+04   0.36481E+05   0.00000E+00
